ID, Name, Type, Faction, Influence
01001,"Noise: Hacker Extraordinaire",Identity,Anarch,15
01002,"Déjà  Vu",Event,Anarch,2
01003,"Demolition Run",Event,Anarch,2
01004,"Stimhack",Event,Anarch,1
01005,"Cyberfeeder",Hardware,Anarch,1
01006,"Grimoire",Hardware,Anarch,2
01007,"Corroder",Program,Anarch,2
01008,"Datasucker",Program,Anarch,1
01009,"Djinn",Program,Anarch,2
01010,"Medium",Program,Anarch,3
01011,"Mimic",Program,Anarch,1
01012,"Parasite",Program,Anarch,2
01013,"Wyrm",Program,Anarch,2
01014,"Yog.0",Program,Anarch,1
01015,"Ice Carver",Resource,Anarch,3
01016,"Wyldside",Resource,Anarch,3
01017,"Gabriel Santiago: Consummate Professional",Identity,Criminal,15
01018,"Account Siphon",Event,Criminal,4
01019,"Easy Mark",Event,Criminal,1
01020,"Forged Activation Orders",Event,Criminal,2
01021,"Inside Job",Event,Criminal,3
01022,"Special Order",Event,Criminal,2
01023,"Lemuria Codecracker",Hardware,Criminal,1
01024,"Desperado",Hardware,Criminal,3
01025,"Aurora",Program,Criminal,1
01026,"Femme Fatale",Program,Criminal,1
01027,"Ninja",Program,Criminal,2
01028,"Sneakdoor Beta",Program,Criminal,3
01029,"Bank Job",Resource,Criminal,2
01030,"Crash Space",Resource,Criminal,2
01031,"Data Dealer",Resource,Criminal,2
01032,"Decoy",Resource,Criminal,2
01033,"Kate ""Mac"" McCaffrey: Digital Tinker",Identity,Shaper,15
01034,"Diesel",Event,Shaper,2
01035,"Modded",Event,Shaper,2
01036,"The Maker's Eye",Event,Shaper,2
01037,"Tinkering",Event,Shaper,4
01038,"Akamatsu Mem Chip",Hardware,Shaper,1
01039,"Rabbit Hole",Hardware,Shaper,1
01040,"The Personal Touch",Hardware,Shaper,2
01041,"The Toolbox",Hardware,Shaper,2
01042,"Battering Ram",Program,Shaper,2
01043,"Gordian Blade",Program,Shaper,3
01044,"Magnum Opus",Program,Shaper,2
01045,"Net Shield",Program,Shaper,1
01046,"Pipeline",Program,Shaper,1
01047,"Aesop's Pawnshop",Resource,Shaper,2
01048,"Sacrificial Construct",Resource,Shaper,1
01049,"Infiltration",Event,Neutral,0
01050,"Sure Gamble",Event,Neutral,0
01051,"Crypsis",Program,Neutral,0
01052,"Access to Globalsec",Resource,Neutral,0
01053,"Armitage Codebusting",Resource,Neutral,0
01054,"Haas-Bioroid: Engineering the Future",Identity,HaasBioroid,15
01055,"Accelerated Beta Test",Agenda,HaasBioroid,0
01056,"Adonis Campaign",Asset,HaasBioroid,2
01057,"Aggressive Secretary",Asset,HaasBioroid,2
01058,"Archived Memories",Operation,HaasBioroid,2
01059,"Biotic Labor",Operation,HaasBioroid,4
01060,"Shipment from MirrorMorph",Operation,HaasBioroid,2
01061,"Heimdall 1.0",ICE,HaasBioroid,2
01062,"Ichi 1.0",ICE,HaasBioroid,2
01063,"Viktor 1.0",ICE,HaasBioroid,2
01064,"Rototurret",ICE,HaasBioroid,1
01065,"Corporate Troubleshooter",Upgrade,HaasBioroid,1
01066,"Experiential Data",Upgrade,HaasBioroid,1
01067,"Jinteki: Personal Evolution",Identity,Jinteki,15
01068,"Nisei MK II",Agenda,Jinteki,0
01069,"Project Junebug",Asset,Jinteki,1
01070,"Snare!",Asset,Jinteki,2
01071,"Zaibatsu Loyalty",Asset,Jinteki,1
01072,"Neural EMP",Operation,Jinteki,2
01073,"Precognition",Operation,Jinteki,3
01074,"Cell Portal",ICE,Jinteki,2
01075,"Chum",ICE,Jinteki,1
01076,"Data Mine",ICE,Jinteki,2
01077,"Neural Katana",ICE,Jinteki,2
01078,"Wall of Thorns",ICE,Jinteki,1
01079,"Akitaro Watanabe",Upgrade,Jinteki,2
01080,"NBN: Making News",Identity,NBN,15
01081,"AstroScript Pilot Program",Agenda,NBN,0
01082,"Breaking News",Agenda,NBN,0
01083,"Anonymous Tip",Operation,NBN,1
01084,"Closed Accounts",Operation,NBN,1
01085,"Psychographics",Operation,NBN,3
01086,"SEA Source",Operation,NBN,2
01087,"Ghost Branch",Asset,NBN,1
01088,"Data Raven",ICE,NBN,2
01089,"Matrix Analyzer",ICE,NBN,2
01090,"Tollbooth",ICE,NBN,2
01091,"Red Herrings",Upgrade,NBN,2
01092,"SanSan City Grid",Upgrade,NBN,3
01093,"Weyland Consortium: Building a Better World",Identity,Weyland,15
01094,"Hostile Takeover",Agenda,Weyland,0
01095,"Posted Bounty",Agenda,Weyland,0
01096,"Security Subcontract",Asset,Weyland,1
01097,"Aggressive Negotiation",Operation,Weyland,1
01098,"Beanstalk Royalties",Operation,Weyland,1
01099,"Scorched Earth",Operation,Weyland,4
01100,"Shipment from Kaguya",Operation,Weyland,1
01101,"Archer",ICE,Weyland,2
01102,"Hadrian's Wall",ICE,Weyland,3
01103,"Ice Wall",ICE,Weyland,1
01104,"Shadow",ICE,Weyland,1
01105,"Research Station",Upgrade,Weyland,1
01106,"Priority Requisition",Agenda,Neutral,0
01107,"Private Security Force",Agenda,Neutral,0
01108,"Melange Mining Corp.",Asset,Neutral,0
01109,"PAD Campaign",Asset,Neutral,0
01110,"Hedge Fund",Operation,Neutral,0
01111,"Enigma",ICE,Neutral,0
01112,"Hunter",ICE,Neutral,0
01113,"Wall of Static",ICE,Neutral,0
02001,"Whizzard: Master Gamer",Identity,Anarch,15
02002,"Spinal Modem",Hardware,Anarch,2
02003,"Imp",Program,Anarch,3
02004,"Morning Star",Program,Anarch,4
02005,"Cortez Chip",Hardware,Criminal,2
02006,"Peacock",Program,Criminal,2
02007,"ZU.13 Key Master",Program,Shaper,2
02008,"The Helpful AI",Resource,Shaper,2
02009,"Plascrete Carapace",Hardware,Neutral,0
02010,"Haas-Bioroid: Stronger Together",Identity,HaasBioroid,15
02011,"Mandatory Upgrades",Agenda,HaasBioroid,0
02012,"Janus 1.0",ICE,HaasBioroid,3
02013,"Ash 2X3ZB9CY",Upgrade,HaasBioroid,2
02014,"Braintrust",Agenda,Jinteki,0
02015,"Snowflake",ICE,Jinteki,2
02016,"Restructured Datapool",Agenda,NBN,0
02017,"TMI",ICE,NBN,1
02018,"Project Atlas",Agenda,Weyland,0
02019,"Caduceus",ICE,Weyland,2
02020,"Dracō",ICE,Neutral,0
02021,"Vamp",Event,Anarch,2
02022,"Liberated Account",Resource,Anarch,2
02023,"Satellite Uplink",Event,Criminal,3
02024,"e3 Feedback Implants",Hardware,Criminal,2
02025,"Compromised Employee",Resource,Criminal,1
02026,"Notoriety",Event,Shaper,1
02027,"Snowball",Program,Shaper,2
02028,"Dyson Mem Chip",Hardware,Neutral,0
02029,"Encryption Protocol",Asset,HaasBioroid,1
02030,"Sherlock 1.0",ICE,HaasBioroid,2
02031,"Jinteki: Replicating Perfection",Identity,Jinteki,15
02032,"Fetal AI",Agenda,Jinteki,0
02033,"Trick of Light",Operation,Jinteki,3
02034,"Sensei",ICE,Jinteki,1
02035,"Big Brother",Operation,NBN,1
02036,"ChiLo City Grid",Upgrade,NBN,2
02037,"Power Grid Overload",Operation,Weyland,1
02038,"Amazon Industrial Zone",Upgrade,Weyland,1
02039,"Executive Retreat",Agenda,Neutral,0
02040,"Freelancer",Operation,Neutral,0
02041,"Nerve Agent",Program,Anarch,2
02042,"Joshua B.",Resource,Anarch,3
02043,"Emergency Shutdown",Event,Criminal,2
02044,"Muresh Bodysuit",Hardware,Criminal,1
02045,"Snitch",Program,Criminal,2
02046,"Chaos Theory: Wà¼nderkind",Identity,Shaper,15
02047,"Test Run",Event,Shaper,3
02048,"Dinosaurus",Hardware,Shaper,2
02049,"Personal Workshop",Resource,Shaper,4
02050,"Public Sympathy",Resource,Neutral,0
02051,"Project Vitruvius",Agenda,HaasBioroid,0
02052,"Viper",ICE,HaasBioroid,1
02053,"Edge of World",Asset,Jinteki,2
02054,"Sunset",Operation,Jinteki,1
02055,"Marked Accounts",Asset,NBN,1
02056,"Pop-up Window",ICE,NBN,1
02057,"Woodcutter",ICE,Weyland,3
02058,"Commercialization",Operation,Weyland,1
02059,"Private Contracts",Asset,Neutral,0
02060,"Chimera",ICE,Neutral,0
02061,"Disrupter",Program,Anarch,1
02062,"Force of Nature",Program,Anarch,1
02063,"Scrubber",Resource,Anarch,1
02064,"Doppelgà¤nger",Hardware,Criminal,2
02065,"Crescentus",Program,Criminal,1
02066,"Deus X",Program,Shaper,1
02067,"All-nighter",Resource,Shaper,2
02068,"Inside Man",Resource,Neutral,0
02069,"Underworld Contact",Resource,Neutral,0
02070,"Green Level Clearance",Operation,HaasBioroid,1
02071,"Hourglass",ICE,HaasBioroid,2
02072,"Dedicated Server",Asset,Jinteki,2
02073,"Bullfrog",ICE,Jinteki,2
02074,"Uroboros",ICE,NBN,2
02075,"Net Police",Asset,NBN,2
02076,"Weyland Consortium: Because We Built It",Identity,Weyland,15
02077,"Government Contracts",Agenda,Weyland,0
02078,"Tyrant",ICE,Weyland,2
02079,"Oversight AI",Operation,Weyland,2
02080,"False Lead",Agenda,Neutral,0
02081,"Surge",Event,Anarch,1
02082,"Xanadu",Resource,Anarch,2
02083,"Andromeda: Dispossessed Ristie",Identity,Criminal,15
02084,"Networking",Event,Criminal,1
02085,"HQ Interface",Hardware,Criminal,2
02086,"Pheromones",Program,Criminal,2
02087,"Quality Time",Event,Shaper,1
02088,"Replicator",Hardware,Shaper,2
02089,"Creeper",Program,Shaper,1
02090,"Kraken",Event,Neutral,0
02091,"Kati Jones",Resource,Neutral,0
02092,"Eve Campaign",Asset,HaasBioroid,3
02093,"Rework",Operation,HaasBioroid,1
02094,"Whirlpool",ICE,Jinteki,2
02095,"Hokusai Grid",Upgrade,Jinteki,2
02096,"Data Hound",ICE,NBN,1
02097,"Bernice Mai",Upgrade,NBN,2
02098,"Salvage",ICE,Weyland,2
02099,"Simone Diego",Upgrade,Weyland,2
02100,"Foxfire",Operation,Neutral,0
02101,"Retrieval Run",Event,Anarch,2
02102,"Darwin",Program,Anarch,3
02103,"Data Leak Reversal",Resource,Anarch,1
02104,"Faerie",Program,Criminal,3
02105,"Mr. Li",Resource,Criminal,2
02106,"Indexing",Event,Shaper,3
02107,"R&D Interface",Hardware,Shaper,2
02108,"Deep Thought",Program,Shaper,2
02109,"New Angeles City Hall",Resource,Neutral,0
02110,"Eli 1.0",ICE,HaasBioroid,1
02111,"Ruhr Valley",Upgrade,HaasBioroid,3
02112,"Ronin",Asset,Jinteki,4
02113,"Midori",Upgrade,Jinteki,3
02114,"NBN: The World is Yours*",Identity,NBN,12
02115,"Project Beale",Agenda,NBN,0
02116,"Midseason Replacements",Operation,NBN,4
02117,"Flare",ICE,NBN,3
02118,"Dedicated Response Team",Asset,Weyland,3
02119,"Burke Bugs",ICE,Weyland,1
02120,"Corporate War",Agenda,Neutral,0
03001,"Cerebral Imaging: Infinite Frontiers",Identity,HaasBioroid,15
03002,"Custom Biotics: Engineered for Success",Identity,HaasBioroid,22
03003,"NEXT Design: Guarding the Net",Identity,HaasBioroid,12
03004,"Director Haas' Pet Project",Agenda,HaasBioroid,0
03005,"Efficiency Committee",Agenda,HaasBioroid,0
03006,"Project Wotan",Agenda,HaasBioroid,0
03007,"Sentinel Defense Program",Agenda,HaasBioroid,0
03008,"Alix T4LB07",Asset,HaasBioroid,1
03009,"Cerebral Overwriter",Asset,HaasBioroid,2
03010,"Director Haas",Asset,HaasBioroid,5
03011,"Haas Arcology AI",Asset,HaasBioroid,4
03012,"Thomas Haas",Asset,HaasBioroid,1
03013,"Bioroid Efficiency Research",Operation,HaasBioroid,2
03014,"Successful Demonstration",Operation,HaasBioroid,1
03015,"Heimdall 2.0",ICE,HaasBioroid,3
03016,"Howler",ICE,HaasBioroid,1
03017,"Ichi 2.0",ICE,HaasBioroid,3
03018,"Minelayer",ICE,HaasBioroid,1
03019,"Viktor 2.0",ICE,HaasBioroid,3
03020,"Zed 1.0",ICE,HaasBioroid,2
03021,"Awakening Center",Upgrade,HaasBioroid,1
03022,"Tyr's Hand",Upgrade,HaasBioroid,1
03023,"Gila Hands Arcology",Agenda,Neutral,0
03024,"Levy University",Asset,Neutral,0
03025,"Server Diagnostics",Asset,Neutral,0
03026,"Bastion",ICE,Neutral,0
03027,"Datapike",ICE,Neutral,0
03028,"Rielle ""Kit"" Peddler: Transhuman",Identity,Shaper,10
03029,"The Professor: Keeper of Knowledge",Identity,Shaper,1
03030,"Exile: Streethawk",Identity,Shaper,15
03031,"Escher",Event,Shaper,5
03032,"Exploratory Romp",Event,Shaper,2
03033,"Freelance Coding Contract",Event,Shaper,1
03034,"Scavenge",Event,Shaper,2
03035,"Levy AR Lab Access",Event,Shaper,3
03036,"Monolith",Hardware,Shaper,3
03037,"Feedback Filter",Hardware,Shaper,1
03038,"Clone Chip",Hardware,Shaper,2
03039,"Omni-Drive",Hardware,Shaper,3
03040,"Atman",Program,Shaper,3
03041,"Cloak",Program,Shaper,2
03042,"Dagger",Program,Shaper,2
03043,"Chakana",Program,Shaper,2
03044,"Cyber-Cypher",Program,Shaper,3
03045,"Paricia",Program,Shaper,1
03046,"Self-modifying Code",Program,Shaper,3
03047,"Sahasrara",Program,Shaper,2
03048,"Inti",Program,Shaper,1
03049,"Professional Contacts",Resource,Shaper,2
03050,"Borrowed Satellite",Resource,Shaper,2
03051,"Ice Analyzer",Resource,Shaper,1
03052,"Dirty Laundry",Event,Neutral,0
03053,"Daily Casts",Resource,Neutral,0
03054,"Same Old Thing",Resource,Neutral,0
03055,"The Source",Resource,Neutral,2
04001,"Frame Job",Event,Anarch,2
04002,"Pawn",Program,Anarch,1
04003,"Rook",Program,Anarch,2
04004,"Hostage",Event,Criminal,2
04005,"Gorman Drip v1",Program,Criminal,1
04006,"Lockpick",Hardware,Shaper,3
04007,"False Echo",Program,Shaper,2
04008,"Motivation",Resource,Shaper,1
04009,"John Masanori",Resource,Neutral,0
04010,"Project Ares",Agenda,HaasBioroid,0
04011,"NEXT Bronze",ICE,HaasBioroid,2
04012,"Celebrity Gift",Operation,Jinteki,3
04013,"Himitsu-Bako",ICE,Jinteki,2
04014,"Character Assassination",Agenda,NBN,0
04015,"Jackson Howard",Asset,NBN,1
04016,"Invasion of Privacy",Operation,NBN,3
04017,"Geothermal Fracking",Agenda,Weyland,0
04018,"Swarm",ICE,Weyland,4
04019,"Cyberdex Trial",Operation,Neutral,0
04020,"Grim",ICE,Neutral,0
04021,"Bishop",Program,Anarch,2
04022,"Scheherazade",Program,Anarch,1
04023,"Hard at Work",Resource,Anarch,2
04024,"Recon",Event,Criminal,2
04025,"Copycat",Program,Criminal,1
04026,"Leviathan",Program,Criminal,2
04027,"Eureka!",Event,Shaper,1
04028,"Record Reconstructor",Hardware,Shaper,1
04029,"Prepaid VoicePAD",Hardware,Neutral,0
04030,"Wotan",ICE,HaasBioroid,5
